IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S02001128,Earnock,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001129,Laighstonehall,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001131,Stewartfield West,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001130,East Mains,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001133,Burnbank South and Chantinghall,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001132,Calderwood West and Nerston,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001139,Hamilton Centre and Low Parks,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001134,Hillhouse,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001135,Stewartfield East,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001136,Calderwood Central,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001137,Burnbank Central and Udston,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001138,Calderwood East,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001141,Burnbank North,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001140,High Blantyre,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001142,Whitehill,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001143,Blantyre South and Wheatlands,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001144,Blantytre North and Coatshill,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001145,Bothwell South,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001151,Low Blantyre and Bardykes,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001146,Fernhill and Cathkin,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001147,Bothwell North,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001148,Whitlawburn and Greenlees,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001149,Vicarland and Cairns,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001150,Burnside and Springhall,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001156,"Halfway, Hallside and Drumsagard",S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001153,Cambuslang Central,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001152,Spittal,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001155,Uddingston and Gardenside,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001154,High Crosshill,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001157,Westburn and Newton,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001159,"Burgh, Eastfield and Silverbank",S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001158,Bankhead South,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001161,Shawfield and Clincarthill,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001160,Burnhill and Bankhead North,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001162,Farme Cross and Gallowflat North,S12000029,South Lanarkshire,S37000028,South Lanarkshire,S08000032,NHS Lanarkshire,S92000003
S02001163,Blane Valley,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001167,Strathendrick,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001164,Sauchenford,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001166,Cambusbarron and Carron Vall,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001165,Bannockburn,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001169,Stirling East,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001168,Borestone,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001170,Fallin,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001171,Torbrex,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001173,Forthside,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001176,Western Villages,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001172,Town Centre,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001174,Raploch,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001175,Wallace,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001177,Logie,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001178,Bridge of Allan,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001179,Teith Valley,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001183,Highland,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001180,Dunblane West,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001181,Dunblane East,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001182,Callander,S12000030,Stirling,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001184,IZ One,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001185,IZ Two,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001186,IZ Three,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001187,IZ Four,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001188,IZ Five,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001189,IZ Six,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001190,IZ Seven,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001191,IZ Eight,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001193,IZ Ten,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001192,IZ Nine,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001194,IZ Eleven,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001195,IZ Twelve,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001196,IZ Thirteen,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001197,IZ Fourteen,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001198,IZ Fifteen,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001199,IZ Sixteen,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001200,IZ Seventeen,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001201,IZ Eighteen,S12000039,West Dunbartonshire,S37000029,West Dunbartonshire,S08000031,NHS Greater Glasgow and Clyde,S92000003
S02001202,Breich Valley,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001203,West Calder,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001204,Fauldhouse,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001206,Greenrigg,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001205,Blaeberry Hill,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001209,Oakbank,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001210,Kirkton,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001207,Whitburn Central,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001208,Murieston,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001212,Blackburn,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001211,Dedridge,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001213,East Calder,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001224,Starlaw,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001215,Blackridge,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001214,Howden,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001216,Ladywell,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001217,Calderwood,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001219,Bathgate West,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001218,Craigshill,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001220,Eliburn,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001222,Armadale,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001225,Bathgate East,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001221,Deans,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001223,Knightsridge,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001226,Houston,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001229,Dechmont,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001228,Westfield,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001227,Broxburn,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001230,Uphall,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001231,Kirkhill,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001233,Winchburgh,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001232,Linlithgow South,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001235,Linlithgow Bridge,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
S02001234,Linlithgow North,S12000040,West Lothian,S37000030,West Lothian,S08000024,NHS Lothian,S92000003
